"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,"Visitas ao perfil",Respostas,Navegação,Seguimentos,"Cliques no link","Toques em figurinhas"
17921709798280228,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,20,"04/08/2026 05:50",https://www.instagram.com/stories/megaelectronicosparaguay/3870777421633669191,"Story do Instagram",,Total,1509,1223,2,0,,0,1489,,,
18106955608694622,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,20,"04/08/2026 05:50",https://www.instagram.com/stories/megaelectronicosparaguay/3870777331296733317,"Story do Instagram",,Total,1603,1243,2,0,1,0,1582,,,
18091412999179691,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,20,"04/08/2026 05:50",https://www.instagram.com/stories/megaelectronicosparaguay/3870777245573553128,"Story do Instagram",,Total,1636,1266,4,0,3,0,1610,,,
18096467945279702,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,20,"04/08/2026 05:50",https://www.instagram.com/stories/megaelectronicosparaguay/3870777148886445761,"Story do Instagram",,Total,1573,1314,2,4,3,0,1538,,,
18367652014207038,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,12,"04/08/2026 05:36",https://www.instagram.com/stories/megaelectronicosparaguay/3870770019492377158,"Story do Instagram",,Total,1580,1386,4,0,3,0,1504,1,,
17887903179354920,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Último día del HOT SALE ¡Aprovechen!",31,"04/08/2026 05:23",https://www.instagram.com/stories/megaelectronicosparaguay/3870763979535255284,"Story do Instagram",,Total,3188,2644,9,1,11,0,1639,,69,
17944729644150643,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,20,"04/07/2026 08:10",https://www.instagram.com/stories/megaelectronicosparaguay/3870123111291810816,"Story do Instagram",,Total,1447,1242,6,0,13,0,1420,,,
18167476036412969,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","Felicitaciones Sofi Plańas🥳 ¡Gracias por la preferencia!💙",26,"04/07/2026 08:08",https://www.instagram.com/stories/megaelectronicosparaguay/3870122207100521529,"Story do Instagram",,Total,1480,1309,8,0,5,0,1427,,,
18127161352505596,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","En minutos iniciamos",5,"04/07/2026 07:15",https://www.instagram.com/stories/megaelectronicosparaguay/3870095115403089927,"Story do Instagram",,Total,1482,1310,5,0,7,0,1412,,,
18127348078565407,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾",,17,"04/07/2026 06:34",https://www.instagram.com/stories/megaelectronicosparaguay/3870074606204478936,"Story do Instagram",,Total,1581,1311,4,1,4,0,1478,,68,
17966549577027540,17841464139514838,megaelectronicosparaguay,"Mega Electrónicos 🇵🇾","A las 11:00hrs sorteo del primer Smart TV de 50”",29,"04/07/2026 06:31",https://www.instagram.com/stories/megaelectronicosparaguay/3870073515467332835,"Story do Instagram",,Total,1513,1303,5,1,3,0,1442,,,
