"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,"Visitas ao perfil",Respostas,Navegação,"Toques em figurinhas","Cliques no link",Likes
18045301106687844,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,43,"01/11/2026 07:06",https://www.instagram.com/stories/megaeletronicosoficialpy/3807790422689955286,"Story do Instagram",,Total,8077,6837,,63,3,67,13,7607,,,19
18094091491745669,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/11/2026 03:00",https://www.instagram.com/stories/megaeletronicosoficialpy/3807666655112017356,"Story do Instagram",,Total,7420,6355,,2,,19,0,7170,,,6
18061726343294015,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/11/2026 03:00",https://www.instagram.com/stories/megaeletronicosoficialpy/3807666561604237198,"Story do Instagram",,Total,7783,6558,,3,,8,0,7506,,,10
18552662140058211,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/11/2026 03:00",https://www.instagram.com/stories/megaeletronicosoficialpy/3807666468239029732,"Story do Instagram",,Total,8226,6809,,1,1,1,0,7893,,,5
18068843462539452,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/11/2026 03:00",https://www.instagram.com/stories/megaeletronicosoficialpy/3807666345689857683,"Story do Instagram",,Total,9065,7687,,4,1,16,0,8327,,,9
17868063171536850,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Melhore sua experiência tecnológica com a Blackview. Acesse este link e descubra os melhores produtos 🚀📱",9,"01/10/2026 07:10",https://www.instagram.com/stories/megaeletronicosoficialpy/3807067330191652375,"Story do Instagram",,Total,5682,4775,,5,1,28,2,5158,,81,8
17997778244852419,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Sábado de comprinhas",15,"01/10/2026 07:08",https://www.instagram.com/stories/megaeletronicosoficialpy/3807066466886430744,"Story do Instagram",,Total,5830,4956,,6,,6,0,5480,,,8
17906493609164801,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Hoje a @quanta.cd veio pra fazer o dia dos nossos clientes ainda mais gostoso 😋",11,"01/10/2026 06:42",https://www.instagram.com/stories/megaeletronicosoficialpy/3807053282377044784,"Story do Instagram",,Total,6173,5236,,9,,9,1,4759,17,26,11
18090692314956270,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial",,0,"01/10/2026 06:27",https://www.instagram.com/stories/megaeletronicosoficialpy/3807045712488773570,"Story do Instagram",,Total,5124,4669,,0,,,0,4967,,,10
18044160530500889,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Acesse este link, veja todos os perfumes de L’haya e escolha o seu favorito! 💖✨",0,"01/10/2026 06:22",https://www.instagram.com/stories/megaeletronicosoficialpy/3807043363443691892,"Story do Instagram",,Total,5021,4709,,0,,2,0,4896,,11,9
18062245220280803,17841401563580236,megaeletronicosoficialpy,"Mega Eletrônicos | 🇧🇷 Conta Oficial","Blackview  L’haya Perfume Unissex L'haya Elixir Verde Extrait L’HAYA perfume U$ 25.00 preço sujeito a alteração",0,"01/10/2026 06:16",https://www.instagram.com/stories/megaeletronicosoficialpy/3807040145112270310,"Story do Instagram",,Total,5071,4745,,1,,6,0,4949,,8,8
